0,-40.0,5.0,63.0,75.0
1,-113.0,9.0,59.0,79.0
2,-22.0,7.0,51.0,53.0
3,-91.0,21.0,68.0,72.0
4,47.0,7.0,81.0,72.0
5,-81.0,15.0,63.0,69.0
6,1.0,11.0,63.0,70.0
7,200.0,0.0,68.0,60.0
8,-37.0,-15.0,55.0,68.0
9,-161.0,5.0,63.0,69.0
10,275.0,9.0,83.0,59.0
11,-112.0,-1.0,79.0,69.0
12,56.0,12.0,56.0,81.0
13,-17.0,2.0,60.0,61.0
14,33.0,-8.0,60.0,89.0
15,-9.0,7.0,71.0,91.0
16,-47.0,3.0,79.0,57.0
17,-134.0,3.0,61.0,64.0
18,64.0,10.0,57.0,90.0
19,-95.0,10.0,68.0,70.0
20,19.0,24.0,72.0,68.0
21,198.0,1.0,70.0,74.0
22,73.0,2.0,70.0,79.0
23,41.0,-19.0,64.0,79.0
24,-98.0,0.0,83.0,67.0
25,66.0,9.0,69.0,64.0
26,299.0,1.0,52.0,51.0
27,-148.0,3.0,84.0,62.0
28,-118.0,30.0,72.0,62.0
29,-157.0,17.0,68.0,59.0
30,-143.0,-12.0,76.0,59.0
31,56.0,14.0,62.0,87.0
32,104.0,14.0,61.0,59.0
33,-2.0,11.0,69.0,55.0
34,-175.0,0.0,57.0,57.0
35,58.0,10.0,60.0,72.0
36,90.0,9.0,73.0,86.0
37,-141.0,1.0,58.0,85.0
38,-34.0,5.0,62.0,72.0
39,147.0,3.0,57.0,90.0
40,-169.0,3.0,91.0,68.0
41,-65.0,22.0,70.0,70.0
42,-101.0,9.0,65.0,71.0
43,-81.0,13.0,56.0,57.0
44,223.0,16.0,59.0,72.0
45,95.0,-1.0,91.0,77.0
46,68.0,17.0,84.0,65.0
47,32.0,-11.0,68.0,69.0
48,-132.0,7.0,70.0,74.0
49,-87.0,-9.0,74.0,92.0
50,86.0,0.0,66.0,57.0
51,125.0,14.0,73.0,58.0
52,-43.0,8.0,59.0,70.0
53,251.0,-4.0,69.0,68.0
54,50.0,0.0,70.0,70.0
55,-79.0,26.0,63.0,47.0
56,-12.0,12.0,62.0,65.0
57,1.0,-8.0,63.0,70.0
58,-167.0,-3.0,81.0,78.0
59,170.0,-2.0,54.0,85.0
60,-14.0,-17.0,62.0,50.0
61,81.0,5.0,64.0,72.0
62,100.0,-25.0,60.0,70.0
63,-70.0,11.0,75.0,72.0
64,-27.0,8.0,80.0,78.0
65,-219.0,0.0,49.0,85.0
66,138.0,5.0,59.0,83.0
67,107.0,10.0,54.0,72.0
68,104.0,12.0,93.0,69.0
69,63.0,14.0,74.0,64.0
70,-32.0,-4.0,73.0,70.0
71,128.0,-17.0,55.0,77.0
72,220.0,10.0,78.0,62.0
73,-117.0,1.0,68.0,86.0
74,125.0,3.0,66.0,64.0
75,-55.0,3.0,85.0,74.0
76,-55.0,-12.0,71.0,78.0
77,176.0,13.0,71.0,79.0
78,154.0,-15.0,78.0,66.0
79,-347.0,11.0,68.0,56.0
80,-98.0,-24.0,85.0,57.0
81,-78.0,-6.0,79.0,80.0
82,-162.0,3.0,82.0,61.0
83,13.0,31.0,65.0,51.0
84,54.0,32.0,79.0,87.0
85,-50.0,-5.0,62.0,48.0
86,-40.0,1.0,72.0,78.0
87,53.0,6.0,84.0,87.0
88,-108.0,2.0,64.0,73.0
89,-10.0,3.0,86.0,74.0
90,227.0,31.0,53.0,43.0
91,43.0,-6.0,71.0,61.0
92,-241.0,-3.0,75.0,77.0
93,286.0,0.0,62.0,71.0
94,57.0,19.0,76.0,56.0
95,-239.0,19.0,67.0,71.0
96,-32.0,-5.0,58.0,74.0
97,-77.0,19.0,63.0,63.0
98,-146.0,17.0,80.0,78.0
99,310.0,17.0,59.0,69.0
100,-64.0,10.0,81.0,65.0
101,-5.0,4.0,73.0,69.0
102,-356.0,17.0,56.0,70.0
103,-175.0,14.0,71.0,76.0
104,208.0,12.0,53.0,70.0
105,38.0,12.0,83.0,77.0
106,48.0,-5.0,74.0,58.0
107,59.0,0.0,60.0,91.0
108,22.0,7.0,54.0,73.0
109,-200.0,0.0,85.0,73.0
110,71.0,6.0,40.0,64.0
111,4.0,-10.0,46.0,70.0
112,-117.0,16.0,74.0,71.0
113,-39.0,-5.0,62.0,78.0
114,18.0,13.0,77.0,83.0
115,-113.0,6.0,65.0,57.0
116,-17.0,16.0,88.0,56.0
117,-68.0,14.0,47.0,69.0
118,73.0,8.0,67.0,64.0
119,184.0,3.0,62.0,72.0
120,102.0,11.0,80.0,69.0
121,-40.0,4.0,89.0,78.0
